,StateName,Abbrev,Date,AvgPrice,Type,MORTGAGE30US,MonthlyPayment,AvgRent
260,Illinois,IL,2015-06-30,358331.1170408449,Multifamily,4.02,960.33,863.4741803096966
261,Ohio,OH,2015-06-30,254045.03188023544,Multifamily,4.02,680.84,885.0589146648762
262,Georgia,GA,2015-06-30,321942.32677654555,Multifamily,4.02,862.81,939.9967088202626
263,North Carolina,NC,2015-06-30,378923.3975503917,Multifamily,4.02,1015.51,927.9902777301135
264,Michigan,MI,2015-06-30,259198.6585340388,Multifamily,4.02,694.65,902.1880074339075
265,New Jersey,NJ,2015-06-30,624052.9587113641,Multifamily,4.02,1672.46,1109.5830418672706
266,Virginia,VA,2015-06-30,527739.5086294239,Multifamily,4.02,1414.34,1002.9368374710289
267,Washington,WA,2015-06-30,432837.11433705833,Multifamily,4.02,1160.0,936.3404384666748
268,Arizona,AZ,2015-06-30,357275.81108050584,Multifamily,4.02,957.5,954.1117694151305
269,Massachusetts,MA,2015-06-30,642211.6096027727,Multifamily,4.02,1721.13,1240.9667672390742
270,Tennessee,TN,2015-06-30,345959.76381359925,Multifamily,4.02,927.17,918.7324328073992
271,Indiana,IN,2015-06-30,268141.22794860444,Multifamily,4.02,718.62,830.9555749163312
272,Maryland,MD,2015-06-30,487019.38175141864,Multifamily,4.02,1305.21,1033.7538938485945
273,Missouri,MO,2015-06-30,289338.45917154214,Multifamily,4.02,775.43,883.7699938135617
274,Wisconsin,WI,2015-06-30,242748.55679401345,Multifamily,4.02,650.57,928.3062477112493
275,Colorado,CO,2015-06-30,438180.6034307329,Multifamily,4.02,1174.32,973.9318194015992
276,Minnesota,MN,2015-06-30,339326.24605224375,Multifamily,4.02,909.39,941.053948381628
277,South Carolina,SC,2015-06-30,320113.31026398786,Multifamily,4.02,857.9,964.6926826950631
278,Alabama,AL,2015-06-30,322131.1766932923,Multifamily,4.02,863.31,921.502393137281
279,Louisiana,LA,2015-06-30,331516.9795096893,Multifamily,4.02,888.47,904.7989787268433
280,Kentucky,KY,2015-06-30,283804.0015069877,Multifamily,4.02,760.59,913.7387374215219
281,Oregon,OR,2015-06-30,422051.8217075895,Multifamily,4.02,1131.1,925.9512397953197
282,Oklahoma,OK,2015-06-30,305369.8841161793,Multifamily,4.02,818.39,846.3515400760999
283,Connecticut,CT,2015-06-30,593174.4048139156,Multifamily,4.02,1589.71,1233.6821571635942
284,Utah,UT,2015-06-30,330136.55948788405,Multifamily,4.02,884.77,957.2188039549546
285,Iowa,IA,2015-06-30,271816.6457145091,Multifamily,4.02,728.47,891.4292126765957
286,Nevada,NV,2015-06-30,351972.1849051402,Multifamily,4.02,943.29,887.6943329649476
287,Arkansas,AR,2015-06-30,307909.65498225344,Multifamily,4.02,825.2,893.1388173942336
288,Mississippi,MS,2015-06-30,281081.8378157136,Multifamily,4.02,753.3,848.6793780890173
289,Kansas,KS,2015-06-30,273677.4075453317,Multifamily,4.02,733.46,823.4842716054732
